number	stem	png	svg	title	sources	note
1	01_readout_performance_ladder	01_readout_performance_ladder.png	01_readout_performance_ladder.svg	Readout performance ladder	phase15d/region_control_summary.tsv; phase15d/region_control_random_window_rollup.tsv; phase15d/region_control_shuffled_label_summary.tsv	Global, framework, CDR-aware, random-window, and shuffled-label readouts ranked by MRR and Recall@10.
2	02_global_to_cdr_rank_shift	02_global_to_cdr_rank_shift.png	02_global_to_cdr_rank_shift.svg	Global to CDR rank shift	phase15c/region_readout_retrieval_results.tsv	Target-level first-positive ranks when switching from global pooling to all-CDR mean+std pooling.
3	03_first_correct_neighbor_cdf	03_first_correct_neighbor_cdf.png	03_first_correct_neighbor_cdf.svg	First correct neighbor CDF	phase15c/region_readout_retrieval_results.tsv; phase15d/region_control_retrieval_results.tsv	Cumulative distribution of first same-antigen neighbor rank for global and CDR-aware readouts.
4	04_internal_vs_tierb_mrr_heatmap	04_internal_vs_tierb_mrr_heatmap.png	04_internal_vs_tierb_mrr_heatmap.svg	Internal vs Tier B replication heatmap	figure_inputs/phase15d_20260627/region_control_summary.tsv; phase15d/region_control_summary.tsv	MRR pattern across readouts in the original internal diagnostic and stricter Tier B endpoint.
5	05_controls_cdr_vs_framework_shuffle	05_controls_cdr_vs_framework_shuffle.png	05_controls_cdr_vs_framework_shuffle.svg	Controls: CDR vs framework and shuffled labels	phase15d/region_control_summary.tsv; phase15d/region_control_random_window_rollup.tsv; phase15d/region_control_shuffled_label_summary.tsv	Focused control comparison showing CDR readouts against framework, random-window, and shuffled-label baselines.
6	06_compression_honesty_k64	06_compression_honesty_k64.png	06_compression_honesty_k64.svg	Compression honesty plot	phase15c/region_readout_condition_summary.tsv; phase15c/region_readout_random_rollup.tsv	Full 100 conformers versus K64 structural selectors and same-budget random K64 under the strongest readout.
7	07_endpoint_funnel	07_endpoint_funnel.png	07_endpoint_funnel.svg	Endpoint funnel	manifests/*.tsv; endpoint/tierb_endpoint_prep_summary.json	How the Gaeun-generated pool narrows into the Tier B Step 4 evaluable retrieval endpoint.
8	08_per_antigen_readout_heatmap	08_per_antigen_readout_heatmap.png	08_per_antigen_readout_heatmap.svg	Per-antigen improvement heatmap	phase15c/region_readout_retrieval_results.tsv; phase15d/region_control_retrieval_results.tsv	MRR by antigen label for global pooling, all-CDR mean+std, and L-CDR3.
9	09_pca_global_vs_cdr_readouts	09_pca_global_vs_cdr_readouts.png	09_pca_global_vs_cdr_readouts.svg	PCA side-by-side	/Users/jerrygao/Research/liu-lab/conffusion/figure_inputs/phase15_tierb_step4_20260627/pca_readout_points.tsv	PCA of actual full-ensemble global and all-CDR mean+std readout vectors, colored by antigen label.
10	10_readout_bottleneck_schematic	10_readout_bottleneck_schematic.png	10_readout_bottleneck_schematic.svg	Readout bottleneck schematic	phase15d/region_control_summary.tsv	Minimal schematic linking conformer ensembles, MCA tensors, pooling choice, and Tier B retrieval MRR.
